CaseStudyNo,Qno,Chapter
1,1,Unit 1: Forensic Accounting and Fraud Detection
1,2,Unit 1: Forensic Accounting and Fraud Detection
1,3,Unit 1: Forensic Accounting and Fraud Detection
1,4,Unit 1: Forensic Accounting and Fraud Detection
1,5,Unit 1: Forensic Accounting and Fraud Detection
1,6,Unit 1: Forensic Accounting and Fraud Detection
1,7,Unit 1: Forensic Accounting and Fraud Detection
1,8,Unit 1: Forensic Accounting and Fraud Detection
1,9,Unit 1: Forensic Accounting and Fraud Detection
1,10,Unit 1: Forensic Accounting and Fraud Detection
1,11,Unit 1: Forensic Accounting and Fraud Detection
1,12,Unit 1: Forensic Accounting and Fraud Detection
1,13,Unit 1: Forensic Accounting and Fraud Detection
1,14,Unit 1: Forensic Accounting and Fraud Detection
1,15,Unit 1: Forensic Accounting and Fraud Detection
1,16,Unit 1: Forensic Accounting and Fraud Detection
1,17,Unit 1: Forensic Accounting and Fraud Detection
1,18,Unit 1: Forensic Accounting and Fraud Detection
1,19,Unit 1: Forensic Accounting and Fraud Detection
1,20,Unit 1: Forensic Accounting and Fraud Detection
1,21,Unit 2: Basics of Digital Forensic and Cyber Security
1,22,Unit 2: Basics of Digital Forensic and Cyber Security
1,23,Unit 2: Basics of Digital Forensic and Cyber Security
1,24,Unit 2: Basics of Digital Forensic and Cyber Security
1,25,Unit 2: Basics of Digital Forensic and Cyber Security
1,26,Unit 2: Basics of Digital Forensic and Cyber Security
1,27,Unit 2: Basics of Digital Forensic and Cyber Security
1,28,Unit 2: Basics of Digital Forensic and Cyber Security
1,29,Unit 2: Basics of Digital Forensic and Cyber Security
1,30,Unit 2: Basics of Digital Forensic and Cyber Security
1,31,Unit 3: Robotic Process Automation (RPA)
1,32,Unit 3: Robotic Process Automation (RPA)
1,33,Unit 3: Robotic Process Automation (RPA)
1,34,Unit 3: Robotic Process Automation (RPA)
1,35,Unit 3: Robotic Process Automation (RPA)
1,36,Unit 3: Robotic Process Automation (RPA)
1,37,Unit 3: Robotic Process Automation (RPA)
1,38,Unit 3: Robotic Process Automation (RPA)
1,39,Unit 3: Robotic Process Automation (RPA)
1,40,Unit 3: Robotic Process Automation (RPA)
1,41,Unit 4: Oracle Fusion ERP
1,42,Unit 4: Oracle Fusion ERP
1,43,Unit 4: Oracle Fusion ERP
1,44,Unit 4: Oracle Fusion ERP
1,45,Unit 4: Oracle Fusion ERP
1,46,Unit 4: Oracle Fusion ERP
1,47,Unit 4: Oracle Fusion ERP
1,48,Unit 4: Oracle Fusion ERP
1,49,Unit 4: Oracle Fusion ERP
1,50,Unit 4: Oracle Fusion ERP
1,51,Unit 5: Microsoft Dynamics 365
1,52,Unit 5: Microsoft Dynamics 365
1,53,Unit 5: Microsoft Dynamics 365
1,54,Unit 5: Microsoft Dynamics 365
1,55,Unit 5: Microsoft Dynamics 365
1,56,Unit 5: Microsoft Dynamics 365
1,57,Unit 5: Microsoft Dynamics 365
1,58,Unit 5: Microsoft Dynamics 365
1,59,Unit 5: Microsoft Dynamics 365
1,60,Unit 5: Microsoft Dynamics 365
1,61,Unit 5: Microsoft Dynamics 365
1,62,Unit 5: Microsoft Dynamics 365
1,63,Unit 5: Microsoft Dynamics 365
1,64,Unit 5: Microsoft Dynamics 365
1,65,Unit 5: Microsoft Dynamics 365
1,66,Unit 5: Microsoft Dynamics 365
1,67,Unit 5: Microsoft Dynamics 365
1,68,Unit 5: Microsoft Dynamics 365
1,69,Unit 5: Microsoft Dynamics 365
1,70,Unit 5: Microsoft Dynamics 365
1,71,Unit 5: Microsoft Dynamics 365
1,72,Unit 5: Microsoft Dynamics 365
1,73,Unit 5: Microsoft Dynamics 365
1,74,Unit 5: Microsoft Dynamics 365
1,75,Unit 5: Microsoft Dynamics 365
1,76,Unit 5: Microsoft Dynamics 365
1,77,Unit 5: Microsoft Dynamics 365
1,78,Unit 5: Microsoft Dynamics 365
1,79,Unit 5: Microsoft Dynamics 365
1,80,Unit 5: Microsoft Dynamics 365
1,81,Unit 5: Microsoft Dynamics 365
1,82,Unit 5: Microsoft Dynamics 365
1,83,Unit 5: Microsoft Dynamics 365
1,84,Unit 5: Microsoft Dynamics 365
1,85,Unit 5: Microsoft Dynamics 365
1,86,Unit 5: Microsoft Dynamics 365
1,87,Unit 5: Microsoft Dynamics 365
1,88,Unit 5: Microsoft Dynamics 365
1,89,Unit 5: Microsoft Dynamics 365
1,90,Unit 5: Microsoft Dynamics 365
1,91,Unit 5: Microsoft Dynamics 365
1,92,Unit 5: Microsoft Dynamics 365
1,93,Unit 5: Microsoft Dynamics 365
1,94,Unit 5: Microsoft Dynamics 365
1,95,Unit 5: Microsoft Dynamics 365
1,96,Unit 5: Microsoft Dynamics 365
1,97,Unit 5: Microsoft Dynamics 365
1,98,Unit 5: Microsoft Dynamics 365
1,99,Unit 5: Microsoft Dynamics 365
1,100,Unit 5: Microsoft Dynamics 365
1,101,Unit 5: Microsoft Dynamics 365
1,102,Unit 5: Microsoft Dynamics 365
1,103,Unit 5: Microsoft Dynamics 365
1,104,Unit 5: Microsoft Dynamics 365
1,105,Unit 5: Microsoft Dynamics 365
1,106,Unit 5: Microsoft Dynamics 365
1,107,Unit 5: Microsoft Dynamics 365
1,108,Unit 5: Microsoft Dynamics 365
1,109,Unit 5: Microsoft Dynamics 365
1,110,Unit 5: Microsoft Dynamics 365
1,111,Unit 5: Microsoft Dynamics 365
1,112,Unit 5: Microsoft Dynamics 365
1,113,Unit 5: Microsoft Dynamics 365
1,114,Unit 5: Microsoft Dynamics 365
1,115,Unit 5: Microsoft Dynamics 365
1,116,Unit 5: Microsoft Dynamics 365
1,117,Unit 5: Microsoft Dynamics 365
1,118,Unit 5: Microsoft Dynamics 365
1,119,Unit 5: Microsoft Dynamics 365
1,120,Unit 5: Microsoft Dynamics 365
1,121,Unit 5: Microsoft Dynamics 365
1,122,Unit 5: Microsoft Dynamics 365
1,123,Unit 5: Microsoft Dynamics 365
1,124,Unit 5: Microsoft Dynamics 365
1,125,Unit 5: Microsoft Dynamics 365
1,126,Unit 5: Microsoft Dynamics 365
1,127,Unit 5: Microsoft Dynamics 365
1,128,Unit 5: Microsoft Dynamics 365
1,129,Unit 5: Microsoft Dynamics 365
1,130,Unit 5: Microsoft Dynamics 365
1,131,Unit 5: Microsoft Dynamics 365
1,132,Unit 5: Microsoft Dynamics 365
1,133,Unit 5: Microsoft Dynamics 365
1,134,Unit 5: Microsoft Dynamics 365
1,135,Unit 5: Microsoft Dynamics 365
1,136,Unit 5: Microsoft Dynamics 365
1,137,Unit 5: Microsoft Dynamics 365
1,138,Unit 5: Microsoft Dynamics 365
1,139,Unit 5: Microsoft Dynamics 365
1,140,Unit 5: Microsoft Dynamics 365
1,141,Unit 2: Basics of Digital Forensic and Cyber Security
1,142,Unit 2: Basics of Digital Forensic and Cyber Security
1,143,Unit 2: Basics of Digital Forensic and Cyber Security
1,144,Unit 2: Basics of Digital Forensic and Cyber Security
1,145,Unit 2: Basics of Digital Forensic and Cyber Security
1,146,Unit 2: Basics of Digital Forensic and Cyber Security
1,147,Unit 2: Basics of Digital Forensic and Cyber Security
1,148,Unit 2: Basics of Digital Forensic and Cyber Security
1,149,Unit 2: Basics of Digital Forensic and Cyber Security
1,150,Unit 2: Basics of Digital Forensic and Cyber Security
1,151,Unit 2: Basics of Digital Forensic and Cyber Security
1,152,Unit 2: Basics of Digital Forensic and Cyber Security
1,153,Unit 2: Basics of Digital Forensic and Cyber Security
1,154,Unit 2: Basics of Digital Forensic and Cyber Security
1,155,Unit 2: Basics of Digital Forensic and Cyber Security
