CaseStudyNo,Qno,Chapter
1,1,Chapter 6: Completion and Review
1,2,Chapter 3: Audit Planning Strategy and Execution
1,3,Chapter 7: Reporting
1,4,Chapter 2: General Auditing Principles and Auditors Responsibilities
1,5,Chapter 7: Reporting
2,1,Chapter 7: Reporting
2,2,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
2,3,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
2,4,Chapter 7: Reporting
3,1,Chapter 19: Professional Ethics & Liabilities of Auditors
3,2,Chapter 18: Emerging Areas: Sustainable Development Goals (SDG) & Environment Social And Governance (ESG) Assurance
3,3,Chapter 18: Emerging Areas: Sustainable Development Goals (SDG) & Environment Social And Governance (ESG) Assurance
3,4,Chapter 19: Professional Ethics & Liabilities of Auditors
3,5,Chapter 19: Professional Ethics & Liabilities of Auditors
4,1,Chapter 13: Group Audits
4,2,Chapter 7: Reporting
4,3,Chapter 7: Reporting
4,4,Chapter 7: Reporting
4,5,Chapter 7: Reporting
4,6,Chapter 7: Reporting
5,1,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
5,2,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
5,3,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
5,4,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
6,1,Chapter 12: Digital Auditing and Assurance
6,2,Chapter 12: Digital Auditing and Assurance
6,3,Chapter 18: Emerging Areas: Sustainable Development Goals (SDG) & Environment Social And Governance (ESG) Assurance
6,4,Chapter 18: Emerging Areas: Sustainable Development Goals (SDG) & Environment Social And Governance (ESG) Assurance
6,5,Chapter 12: Digital Auditing and Assurance
7,1,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
7,2,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
7,3,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
7,4,Chapter 19: Professional Ethics & Liabilities of Auditors
8,1,Chapter 10: Review of Financial Information
8,2,Chapter 7: Reporting
8,3,Chapter 10: Review of Financial Information
8,4,Chapter 7: Reporting
8,5,Chapter 3: Audit Planning Strategy and Execution
9,1,Chapter 2: General Auditing Principles and Auditors Responsibilities
9,2,Chapter 5: Audit Evidence
9,3,Chapter 7: Reporting
9,4,Chapter 5: Audit Evidence
9,5,Chapter 7: Reporting
10,1,Chapter 1: Quality Control
10,2,Chapter 3: Audit Planning Strategy and Execution
10,3,Chapter 13: Group Audits
10,4,Chapter 13: Group Audits
11,1,Chapter 7: Reporting
11,2,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
11,3,Chapter 7: Reporting
12,1,Chapter 19: Professional Ethics & Liabilities of Auditors
12,2,Chapter 3: Audit Planning Strategy and Execution
12,3,Chapter 19: Professional Ethics & Liabilities of Auditors
12,4,Chapter 19: Professional Ethics & Liabilities of Auditors
13,1,Chapter 19: Professional Ethics & Liabilities of Auditors
13,2,Chapter 19: Professional Ethics & Liabilities of Auditors
13,3,Chapter 19: Professional Ethics & Liabilities of Auditors
13,4,Chapter 19: Professional Ethics & Liabilities of Auditors
14,1,Chapter 1: Quality Control
14,2,Chapter 4: Materiality Risk Assessment and Internal Control
14,3,Chapter 7: Reporting
15,1,Chapter 6: Completion and Review
15,2,Chapter 2: General Auditing Principles and Auditors Responsibilities
15,3,Chapter 6: Completion and Review
15,4,Chapter 19: Professional Ethics & Liabilities of Auditors
16,1,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
16,2,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
16,3,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
16,4,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
17,1,Chapter 6: Completion and Review
17,2,Chapter 5: Audit Evidence
17,3,Chapter 7: Reporting
17,4,Chapter 5: Audit Evidence
18,1,Chapter 7: Reporting
18,2,Chapter 5: Audit Evidence
18,3,Chapter 2: General Auditing Principles and Auditors Responsibilities
19,1,Chapter 17: Due Diligence Investigation & Forensic Accounting
19,2,Chapter 17: Due Diligence Investigation & Forensic Accounting
19,3,Chapter 17: Due Diligence Investigation & Forensic Accounting
20,1,Chapter 7: Reporting
20,2,Chapter 7: Reporting
20,3,Chapter 7: Reporting
20,4,Chapter 7: Reporting
20,5,Chapter 7: Reporting
21,1,Chapter 1: Quality Control
21,2,Chapter 1: Quality Control
21,3,Chapter 1: Quality Control
21,4,Chapter 1: Quality Control
21,5,Chapter 1: Quality Control
22,1,Chapter 2: General Auditing Principles and Auditors Responsibilities
22,2,Chapter 2: General Auditing Principles and Auditors Responsibilities
22,3,Chapter 2: General Auditing Principles and Auditors Responsibilities
22,4,Chapter 2: General Auditing Principles and Auditors Responsibilities
22,5,Chapter 2: General Auditing Principles and Auditors Responsibilities
23,1,Chapter 4: Materiality Risk Assessment and Internal Control
23,2,Chapter 6: Completion and Review
23,3,Chapter 7: Reporting
24,1,Chapter 7: Reporting
24,2,Chapter 7: Reporting
24,3,Chapter 7: Reporting
24,4,Chapter 7: Reporting
25,1,Chapter 6: Completion and Review
25,2,Chapter 6: Completion and Review
25,3,Chapter 6: Completion and Review
25,4,Chapter 6: Completion and Review
25,5,Chapter 6: Completion and Review
26,1,Chapter 13: Group Audits
26,2,Chapter 13: Group Audits
26,3,Chapter 13: Group Audits
26,4,Chapter 13: Group Audits
26,5,Chapter 13: Group Audits
27,1,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
27,2,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
27,3,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
27,4,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
27,5,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
28,1,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
28,2,Chapter 7: Reporting
28,3,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
28,4,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
28,5,Chapter 7: Reporting
29,1,Chapter 15: Overview of Audit of Public Sector Undertakings
29,2,Chapter 15: Overview of Audit of Public Sector Undertakings
29,3,Chapter 15: Overview of Audit of Public Sector Undertakings
29,4,Chapter 15: Overview of Audit of Public Sector Undertakings
29,5,Chapter 15: Overview of Audit of Public Sector Undertakings
30,1,Chapter 4: Materiality Risk Assessment and Internal Control
30,2,Chapter 4: Materiality Risk Assessment and Internal Control
30,3,Chapter 4: Materiality Risk Assessment and Internal Control
30,4,Chapter 4: Materiality Risk Assessment and Internal Control
31,1,Chapter 7: Reporting
31,2,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
31,3,Chapter 19: Professional Ethics & Liabilities of Auditors
31,4,Chapter 7: Reporting
32,1,Chapter 13: Group Audits
32,2,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
32,3,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
32,4,Chapter 19: Professional Ethics & Liabilities of Auditors
33,1,Chapter 7: Reporting
33,2,Chapter 3: Audit Planning Strategy and Execution
33,3,Chapter 2: General Auditing Principles and Auditors Responsibilities
