CaseStudyNo,Qno,Chapter
1,1,Chapter 7: Reporting
1,2,Chapter 7: Reporting
1,3,Chapter 13: Group Audits
1,4,Chapter 19: Professional Ethics & Liabilities of Auditors
2,1,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
2,2,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
2,3,Chapter 7: Reporting
2,4,Chapter 7: Reporting
3,1,Chapter 4: Materiality Risk Assessment and Internal Control
3,2,Chapter 5: Audit Evidence
3,3,Chapter 7: Reporting
3,4,Chapter 2: General Auditing Principles and Auditors Responsibilities
4,1,Chapter 6: Completion and Review
4,2,Chapter 6: Completion and Review
4,3,Chapter 6: Completion and Review
4,4,Chapter 19: Professional Ethics & Liabilities of Auditors
5,1,Chapter 15: Overview of Audit of Public Sector Undertakings
5,2,Chapter 15: Overview of Audit of Public Sector Undertakings
5,3,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
5,4,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
6,1,Chapter 5: Audit Evidence
6,2,Chapter 5: Audit Evidence
6,3,Chapter 5: Audit Evidence
6,4,Chapter 5: Audit Evidence
7,1,Chapter 2: General Auditing Principles and Auditors Responsibilities
7,2,Chapter 12: Digital Auditing and Assurance
7,3,Chapter 4: Materiality Risk Assessment and Internal Control
7,4,Chapter 7: Reporting
7,5,Chapter 13: Group Audits
8,1,Chapter 7: Reporting
8,2,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
8,3,Chapter 19: Professional Ethics & Liabilities of Auditors
8,4,Chapter 19: Professional Ethics & Liabilities of Auditors
8,5,Chapter 19: Professional Ethics & Liabilities of Auditors
9,1,Chapter 7: Reporting
9,2,Chapter 7: Reporting
9,3,Chapter 15: Overview of Audit of Public Sector Undertakings
9,4,Chapter 18: Emerging Areas: Sustainable Development Goals (SDG) & Environment Social And Governance (ESG) Assurance
9,5,Chapter 19: Professional Ethics & Liabilities of Auditors
10,1,Chapter 12: Digital Auditing and Assurance
10,2,Chapter 7: Reporting
10,3,Chapter 18: Emerging Areas: Sustainable Development Goals (SDG) & Environment Social And Governance (ESG) Assurance
10,4,Chapter 19: Professional Ethics & Liabilities of Auditors
11,1,Chapter 19: Professional Ethics & Liabilities of Auditors
11,2,Chapter 19: Professional Ethics & Liabilities of Auditors
11,3,Chapter 19: Professional Ethics & Liabilities of Auditors
11,4,Chapter 19: Professional Ethics & Liabilities of Auditors
12,1,Chapter 1: Quality Control
12,2,Chapter 1: Quality Control
12,3,Chapter 1: Quality Control
13,1,Chapter 5: Audit Evidence
13,2,Chapter 4: Materiality Risk Assessment and Internal Control
13,3,Chapter 5: Audit Evidence
13,4,Chapter 5: Audit Evidence
14,1,Chapter 17: Due Diligence Investigation & Forensic Accounting
14,2,Chapter 17: Due Diligence Investigation & Forensic Accounting
14,3,Chapter 17: Due Diligence Investigation & Forensic Accounting
14,4,Chapter 17: Due Diligence Investigation & Forensic Accounting
15,1,Chapter 19: Professional Ethics & Liabilities of Auditors
15,2,Chapter 19: Professional Ethics & Liabilities of Auditors
15,3,Chapter 19: Professional Ethics & Liabilities of Auditors
15,4,Chapter 19: Professional Ethics & Liabilities of Auditors
16,1,Chapter 5: Audit Evidence
16,2,Chapter 5: Audit Evidence
16,3,Chapter 5: Audit Evidence
16,4,Chapter 19: Professional Ethics & Liabilities of Auditors
17,1,Chapter 7: Reporting
17,2,Chapter 2: General Auditing Principles and Auditors Responsibilities
17,3,Chapter 19: Professional Ethics & Liabilities of Auditors
18,1,Chapter 19: Professional Ethics & Liabilities of Auditors
18,2,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
18,3,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
18,4,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
19,1,Chapter 2: General Auditing Principles and Auditors Responsibilities
19,2,Chapter 7: Reporting
19,3,Chapter 19: Professional Ethics & Liabilities of Auditors
19,4,Chapter 7: Reporting
19,5,Chapter 19: Professional Ethics & Liabilities of Auditors
20,1,Chapter 2: General Auditing Principles and Auditors Responsibilities
20,2,Chapter 19: Professional Ethics & Liabilities of Auditors
20,3,Chapter 7: Reporting
20,4,Chapter 5: Audit Evidence
21,1,Chapter 18: Emerging Areas: Sustainable Development Goals (SDG) & Environment Social And Governance (ESG) Assurance
21,2,Chapter 7: Reporting
21,3,Chapter 18: Emerging Areas: Sustainable Development Goals (SDG) & Environment Social And Governance (ESG) Assurance
21,4,Chapter 2: General Auditing Principles and Auditors Responsibilities
21,5,Chapter 18: Emerging Areas: Sustainable Development Goals (SDG) & Environment Social And Governance (ESG) Assurance
22,1,Chapter 18: Emerging Areas: Sustainable Development Goals (SDG) & Environment Social And Governance (ESG) Assurance
22,2,Chapter 18: Emerging Areas: Sustainable Development Goals (SDG) & Environment Social And Governance (ESG) Assurance
22,3,Chapter 19: Professional Ethics & Liabilities of Auditors
22,4,Chapter 18: Emerging Areas: Sustainable Development Goals (SDG) & Environment Social And Governance (ESG) Assurance
23,1,Chapter 19: Professional Ethics & Liabilities of Auditors
23,2,Chapter 12: Digital Auditing and Assurance
23,3,Chapter 19: Professional Ethics & Liabilities of Auditors
23,4,Chapter 12: Digital Auditing and Assurance
24,1,Chapter 19: Professional Ethics & Liabilities of Auditors
24,2,Chapter 7: Reporting
24,3,Chapter 19: Professional Ethics & Liabilities of Auditors
24,4,Chapter 19: Professional Ethics & Liabilities of Auditors
25,1,Chapter 14: Special Features of Audit of Banks & Non-Banking Financial Companies
