CaseStudyNo,Qno,Chapter
1,1,Chapter 3: Profits and Gains of Business or Profession
1,2,Chapter 20: Tax Audit and Ethical Compliances
1,3,Chapter 3: Profits and Gains of Business or Profession
1,4,Chapter 3: Profits and Gains of Business or Profession
1,5,Chapter 15: Assessment Procedure
2,1,Chapter 3: Profits and Gains of Business or Profession
2,2,Chapter 3: Profits and Gains of Business or Profession
2,3,Chapter 3: Profits and Gains of Business or Profession
2,4,Chapter 3: Profits and Gains of Business or Profession
2,5,Chapter 3: Profits and Gains of Business or Profession
3,1,Chapter 3: Profits and Gains of Business or Profession
3,2,Chapter 5: Income from Other Sources
3,3,Chapter 4: Capital Gains
3,4,Chapter 5: Income from Other Sources
3,5,"Chapter 13: Deduction, Collection and Recovery of Tax"
4,1,Chapter 9: Assessment of Various Entities
4,2,Chapter 9: Assessment of Various Entities
4,3,Chapter 9: Assessment of Various Entities
4,4,Chapter 18: Miscellaneous Provisions
4,5,Chapter 18: Miscellaneous Provisions
5,1,"Chapter 10: Assessment of Trusts and Institutions, Political Parties and Other Special Entities"
5,2,"Chapter 10: Assessment of Trusts and Institutions, Political Parties and Other Special Entities"
5,3,"Chapter 10: Assessment of Trusts and Institutions, Political Parties and Other Special Entities"
5,4,"Chapter 10: Assessment of Trusts and Institutions, Political Parties and Other Special Entities"
5,5,"Chapter 10: Assessment of Trusts and Institutions, Political Parties and Other Special Entities"
5,6,"Chapter 10: Assessment of Trusts and Institutions, Political Parties and Other Special Entities"
6,1,Chapter 18: Miscellaneous Provisions
6,2,Chapter 18: Miscellaneous Provisions
6,3,Chapter 18: Miscellaneous Provisions
6,4,Chapter 18: Miscellaneous Provisions
6,5,Chapter 18: Miscellaneous Provisions
7,1,Chapter 2: Incomes which do not form part of Total Income
7,2,Chapter 2: Incomes which do not form part of Total Income
7,3,Chapter 4: Capital Gains
8,1,"Chapter 13: Deduction, Collection and Recovery of Tax"
8,2,"Chapter 13: Deduction, Collection and Recovery of Tax"
8,3,"Chapter 13: Deduction, Collection and Recovery of Tax"
9,1,Chapter 12: Taxation of Digital Transactions
9,2,"Chapter 13: Deduction, Collection and Recovery of Tax"
9,3,"Chapter 13: Deduction, Collection and Recovery of Tax"
9,4,Chapter 3: Profits and Gains of Business or Profession
10,1,Chapter 24: Transfer Pricing
10,2,Chapter 24: Transfer Pricing
10,3,Chapter 24: Transfer Pricing
10,4,Chapter 24: Transfer Pricing
10,5,Chapter 24: Transfer Pricing
11,1,"Chapter 13: Deduction, Collection and Recovery of Tax"
11,2,Chapter 15: Assessment Procedure
11,3,Chapter 18: Miscellaneous Provisions
11,4,Chapter 3: Profits and Gains of Business or Profession
12,1,Chapter 24: Transfer Pricing
12,2,Chapter 24: Transfer Pricing
12,3,Chapter 24: Transfer Pricing
12,4,Chapter 24: Transfer Pricing
12,5,Chapter 24: Transfer Pricing
12,6,Chapter 24: Transfer Pricing
13,1,Chapter 9: Assessment of Various Entities
13,2,Chapter 9: Assessment of Various Entities
13,3,"Chapter 7: Aggregation of Income, Set Off or Carry Forward of Losses"
13,4,Chapter 9: Assessment of Various Entities
14,1,Chapter 24: Transfer Pricing
14,2,Chapter 9: Assessment of Various Entities
14,3,Chapter 3: Profits and Gains of Business or Profession
14,4,Chapter 9: Assessment of Various Entities
15,1,Chapter 21: Non Resident Taxation
15,2,Chapter 21: Non Resident Taxation
15,3,Chapter 21: Non Resident Taxation
15,4,Chapter 21: Non Resident Taxation
16,1,Chapter 20: Tax Audit and Ethical Compliances
16,2,Chapter 3: Profits and Gains of Business or Profession
16,3,Chapter 3: Profits and Gains of Business or Profession
16,4,Chapter 3: Profits and Gains of Business or Profession
16,5,Chapter 18: Miscellaneous Provisions
17,1,Chapter 4: Capital Gains
17,2,Chapter 3: Profits and Gains of Business or Profession
17,3,Chapter 4: Capital Gains
17,4,Chapter 1: Basic Concepts
17,5,"Chapter 13: Deduction, Collection and Recovery of Tax"
18,1,Chapter 3: Profits and Gains of Business or Profession
18,2,"Chapter 7: Aggregation of Income, Set Off or Carry Forward of Losses"
18,3,Chapter 3: Profits and Gains of Business or Profession
18,4,Chapter 9: Assessment of Various Entities
18,5,Chapter 8: Deductions from Gross Total Income
19,1,"Chapter 13: Deduction, Collection and Recovery of Tax"
19,2,"Chapter 13: Deduction, Collection and Recovery of Tax"
19,3,"Chapter 13: Deduction, Collection and Recovery of Tax"
19,4,"Chapter 13: Deduction, Collection and Recovery of Tax"
19,5,"Chapter 13: Deduction, Collection and Recovery of Tax"
20,1,Chapter 2: Incomes which do not form part of Total Income
20,2,Chapter 9: Assessment of Various Entities
20,3,Chapter 9: Assessment of Various Entities
20,4,Chapter 9: Assessment of Various Entities
20,5,Chapter 3: Profits and Gains of Business or Profession
21,1,Chapter 9: Assessment of Various Entities
21,2,Chapter 9: Assessment of Various Entities
21,3,Chapter 9: Assessment of Various Entities
21,4,Chapter 9: Assessment of Various Entities
21,5,Chapter 21: Non Resident Taxation
22,1,Chapter 1: Basic Concepts
22,2,Chapter 8: Deductions from Gross Total Income
22,3,Chapter 5: Income from Other Sources
22,4,Chapter 21: Non Resident Taxation
22,5,Chapter 6: Income of Other Persons included in Assessee's Total Income
23,1,Chapter 5: Income from Other Sources
23,2,"Chapter 13: Deduction, Collection and Recovery of Tax"
23,3,"Chapter 13: Deduction, Collection and Recovery of Tax"
23,4,Chapter 5: Income from Other Sources
23,5,Chapter 1: Basic Concepts
24,1,Chapter 14: Income Tax Authorities
24,2,Chapter 14: Income Tax Authorities
24,3,Chapter 14: Income Tax Authorities
24,4,Chapter 14: Income Tax Authorities
24,5,Chapter 14: Income Tax Authorities
25,1,Chapter 15: Assessment Procedure
25,2,Chapter 15: Assessment Procedure
25,3,Chapter 18: Miscellaneous Provisions
25,4,Chapter 18: Miscellaneous Provisions
25,5,Chapter 18: Miscellaneous Provisions
26,1,"Chapter 10: Assessment of Trusts and Institutions, Political Parties and Other Special Entities"
26,2,"Chapter 10: Assessment of Trusts and Institutions, Political Parties and Other Special Entities"
26,3,"Chapter 10: Assessment of Trusts and Institutions, Political Parties and Other Special Entities"
26,4,"Chapter 10: Assessment of Trusts and Institutions, Political Parties and Other Special Entities"
27,1,"Chapter 13: Deduction, Collection and Recovery of Tax"
27,2,"Chapter 13: Deduction, Collection and Recovery of Tax"
27,3,"Chapter 13: Deduction, Collection and Recovery of Tax"
27,4,"Chapter 13: Deduction, Collection and Recovery of Tax"
27,5,Chapter 21: Non Resident Taxation
27,6,Chapter 1: Basic Concepts
28,1,Chapter 18: Miscellaneous Provisions
28,2,Chapter 18: Miscellaneous Provisions
28,3,Chapter 18: Miscellaneous Provisions
29,1,Chapter 21: Non Resident Taxation
29,2,Chapter 21: Non Resident Taxation
29,3,Chapter 21: Non Resident Taxation
29,4,Chapter 21: Non Resident Taxation
30,1,Chapter 21: Non Resident Taxation
30,2,Chapter 5: Income from Other Sources
30,3,Chapter 21: Non Resident Taxation
30,4,Chapter 21: Non Resident Taxation
30,5,Chapter 4: Capital Gains
31,1,Chapter 21: Non Resident Taxation
31,2,Chapter 8: Deductions from Gross Total Income
31,3,Chapter 21: Non Resident Taxation
31,4,Chapter 16: Appeals and Revision
32,1,Chapter 5: Income from Other Sources
