CaseStudyNo,Qno,Chapter
1,1,Chapter 2: Charge of GST
1,2,Chapter 2: Charge of GST
1,3,Chapter 11: Payment of Tax
1,4,Chapter 2: Charge of GST
1,5,Chapter 6: Value of Supply
1,6,Chapter 4: Exemptions from GST
2,1,Chapter 1: Supply under GST
2,2,Chapter 23: Advance Ruling
2,3,Chapter 22: Appeals and Revision
2,4,Chapter 19: Demands and Recovery
2,5,Chapter 17: Assessment and Audit
3,1,Chapter 7: Input Tax Credit
3,2,Chapter 7: Input Tax Credit
3,3,Chapter 1: Supply under GST
3,4,Chapter 1: Supply under GST
3,5,Chapter 7: Input Tax Credit
3,6,Chapter 5: Time of Supply
4,1,Chapter 7: Input Tax Credit
4,2,"Chapter 9: Tax Invoice, Credit and Debit Notes"
4,3,Chapter 7: Input Tax Credit
4,4,"Chapter 4: Valuation under the Customs Act, 1962"
4,5,Chapter 1: Supply under GST
5,1,Chapter 4: Exemptions from GST
5,2,Chapter 1: Supply under GST
5,3,Chapter 2: Charge of GST
5,4,Chapter 5: Time of Supply
5,5,Chapter 7: Input Tax Credit
6,1,Chapter 7: Input Tax Credit
6,2,Chapter 5: Time of Supply
6,3,Chapter 19: Demands and Recovery
6,4,Chapter 8: Registration
6,5,Chapter 6: Value of Supply
6,6,Chapter 11: Payment of Tax
7,1,Chapter 6: Value of Supply
7,2,Chapter 11: Payment of Tax
7,3,Chapter 22: Appeals and Revision
7,4,Chapter 6: Value of Supply
7,5,Chapter 5: Time of Supply
8,1,Chapter 4: Exemptions from GST
8,2,Chapter 7: Input Tax Credit
8,3,Chapter 19: Demands and Recovery
8,4,Chapter 19: Demands and Recovery
9,1,Chapter 8: Registration
9,2,Chapter 2: Charge of GST
9,3,Chapter 6: Value of Supply
9,4,Chapter 2: Charge of GST
9,5,Chapter 5: Time of Supply
9,6,Chapter 2: Charge of GST
10,1,Chapter 4: Exemptions from GST
10,2,Chapter 3: Place of Supply
10,3,Chapter 3: Place of Supply
10,4,Chapter 4: Exemptions from GST
11,1,Chapter 1: Supply under GST
11,2,Chapter 4: Exemptions from GST
11,3,Chapter 11: Payment of Tax
11,4,Chapter 7: Input Tax Credit
11,5,"Chapter 9: Tax Invoice, Credit and Debit Notes"
12,1,Chapter 8: Registration
12,2,Chapter 7: Input Tax Credit
12,3,Chapter 5: Time of Supply
13,1,Chapter 1: Supply under GST
13,2,Chapter 1: Supply under GST
13,3,Chapter 1: Supply under GST
14,1,Chapter 1: Supply under GST
14,2,Chapter 5: Time of Supply
14,3,Chapter 6: Value of Supply
14,4,Chapter 5: Time of Supply
14,5,Chapter 5: Time of Supply
14,6,Chapter 1: Supply under GST
15,1,Chapter 2: Charge of GST
15,2,Chapter 2: Charge of GST
15,3,Chapter 4: Exemptions from GST
16,1,Chapter 7: Input Tax Credit
16,2,Chapter 5: Time of Supply
16,3,Chapter 5: Time of Supply
17,1,Chapter 5: Time of Supply
17,2,Chapter 4: Exemptions from GST
17,3,Chapter 4: Exemptions from GST
18,1,Chapter 19: Demands and Recovery
18,2,Chapter 19: Demands and Recovery
18,3,Chapter 11: Payment of Tax
18,4,Chapter 24: Miscellaneous Provisions
18,5,Chapter 5: Time of Supply
19,1,Chapter 13: Returns
19,2,Chapter 13: Returns
19,3,Chapter 7: Input Tax Credit
20,1,Chapter 5: Time of Supply
20,2,Chapter 5: Time of Supply
20,3,Chapter 5: Time of Supply
21,1,Chapter 6: Value of Supply
21,2,Chapter 7: Input Tax Credit
21,3,Chapter 5: Time of Supply
21,4,Chapter 5: Time of Supply
22,1,Chapter 7: Input Tax Credit
22,2,Chapter 5: Time of Supply
22,3,Chapter 5: Time of Supply
22,4,Chapter 7: Input Tax Credit
23,1,Chapter 6: Value of Supply
23,2,Chapter 2: Charge of GST
23,3,Chapter 5: Time of Supply
23,4,Chapter 11: Payment of Tax
23,5,Chapter 5: Time of Supply
24,1,Chapter 2: Charge of GST
24,2,Chapter 7: Input Tax Credit
24,3,Chapter 2: Charge of GST
24,4,Chapter 2: Charge of GST
24,5,Chapter 5: Time of Supply
25,1,Chapter 2: Charge of GST
25,2,Chapter 5: Time of Supply
25,3,Chapter 5: Time of Supply
25,4,Chapter 5: Time of Supply
26,1,Chapter 2: Charge of GST
26,2,Chapter 4: Exemptions from GST
26,3,Chapter 4: Exemptions from GST
26,4,Chapter 7: Input Tax Credit
26,5,Chapter 7: Input Tax Credit
26,6,Chapter 5: Time of Supply
27,1,Chapter 7: Input Tax Credit
27,2,Chapter 7: Input Tax Credit
27,3,Chapter 7: Input Tax Credit
27,4,Chapter 7: Input Tax Credit
27,5,Chapter 7: Input Tax Credit
28,1,Chapter 8: Registration
28,2,Chapter 6: Value of Supply
28,3,Chapter 5: Time of Supply
29,1,Chapter 7: Input Tax Credit
29,2,Chapter 7: Input Tax Credit
29,3,Chapter 7: Input Tax Credit
29,4,Chapter 7: Input Tax Credit
30,1,Chapter 6: Value of Supply
30,2,Chapter 1: Supply under GST
30,3,Chapter 6: Value of Supply
30,4,Chapter 5: Time of Supply
31,1,Chapter 5: Time of Supply
31,2,Chapter 4: Exemptions from GST
31,3,Chapter 1: Supply under GST
31,4,Chapter 1: Supply under GST
32,1,Chapter 2: Charge of GST
32,2,Chapter 5: Time of Supply
32,3,Chapter 4: Exemptions from GST
32,4,Chapter 10: Accounts and Records; E-way Bill
32,5,Chapter 11: Payment of Tax
33,1,Chapter 5: Time of Supply
33,2,Chapter 5: Time of Supply
33,3,Chapter 5: Time of Supply
33,4,Chapter 6: Value of Supply
33,5,Chapter 2: Charge of GST
34,1,Chapter 2: Charge of GST
34,2,Chapter 2: Charge of GST
34,3,Chapter 2: Charge of GST
34,4,Chapter 5: Time of Supply
34,5,Chapter 3: Place of Supply
35,1,Chapter 10: Accounts and Records; E-way Bill
35,2,Chapter 10: Accounts and Records; E-way Bill
35,3,Chapter 10: Accounts and Records; E-way Bill
35,4,Chapter 10: Accounts and Records; E-way Bill
36,1,Chapter 7: Input Tax Credit
36,2,Chapter 7: Input Tax Credit
36,3,Chapter 2: Charge of GST
36,4,Chapter 5: Time of Supply
36,5,Chapter 5: Time of Supply
37,1,Chapter 10: Accounts and Records; E-way Bill
37,2,Chapter 1: Supply under GST
37,3,Chapter 1: Supply under GST
37,4,Chapter 1: Supply under GST
37,5,Chapter 11: Payment of Tax
38,1,Chapter 7: Input Tax Credit
38,2,Chapter 7: Input Tax Credit
38,3,Chapter 7: Input Tax Credit
38,4,Chapter 7: Input Tax Credit
39,1,Chapter 3: Place of Supply
39,2,Chapter 6: Value of Supply
39,3,Chapter 5: Time of Supply
39,4,Chapter 6: Value of Supply
40,1,Chapter 3: Place of Supply
40,2,Chapter 12: Electronic Commerce Transactions
40,3,Chapter 3: Place of Supply
41,1,Chapter 19: Demands and Recovery
41,2,Chapter 7: Input Tax Credit
41,3,Chapter 19: Demands and Recovery
42,1,Chapter 1: Supply under GST
42,2,Chapter 7: Input Tax Credit
42,3,Chapter 20: Liability to Pay in Certain Cases
42,4,Chapter 4: Exemptions from GST
43,1,Chapter 24: Miscellaneous Provisions
43,2,Chapter 24: Miscellaneous Provisions
43,3,Chapter 1: Supply under GST
43,4,Chapter 1: Supply under GST
44,1,Chapter 5: Time of Supply
44,2,Chapter 2: Charge of GST
44,3,"Chapter 9: Tax Invoice, Credit and Debit Notes"
45,1,Chapter 1: Supply under GST
45,2,Chapter 5: Time of Supply
45,3,Chapter 5: Time of Supply
45,4,Chapter 23: Advance Ruling
46,1,Chapter 4: Exemptions from GST
46,2,Chapter 4: Exemptions from GST
46,3,Chapter 1: Supply under GST
46,4,Chapter 4: Exemptions from GST
47,1,Chapter 1: Supply under GST
47,2,Chapter 3: Place of Supply
47,3,Chapter 7: Input Tax Credit
47,4,Chapter 5: Time of Supply
47,5,Chapter 12: Electronic Commerce Transactions
48,1,Chapter 7: Input Tax Credit
48,2,Chapter 3: Place of Supply
48,3,Chapter 7: Input Tax Credit
48,4,Chapter 1: Supply under GST
49,1,Chapter 1: Supply under GST
49,2,Chapter 2: Charge of GST
49,3,Chapter 3: Place of Supply
49,4,Chapter 5: Time of Supply
50,1,Chapter 7: Input Tax Credit
50,2,Chapter 7: Input Tax Credit
50,3,Chapter 5: Time of Supply
50,4,Chapter 4: Exemptions from GST
51,1,Chapter 6: Value of Supply
51,2,Chapter 6: Value of Supply
51,3,Chapter 5: Time of Supply
51,4,Chapter 6: Warehousing
52,1,Chapter 6: Value of Supply
52,2,Chapter 6: Warehousing
52,3,Chapter 5: Time of Supply
52,4,Chapter 7: Input Tax Credit
53,1,Chapter 6: Value of Supply
53,2,Chapter 2: Charge of GST
53,3,Chapter 11: Payment of Tax
53,4,Chapter 22: Appeals and Revision
54,1,Chapter 5: Time of Supply
54,2,Chapter 1: Supply under GST
54,3,Chapter 7: Input Tax Credit
54,4,Chapter 6: Value of Supply
54,5,Chapter 7: Input Tax Credit
55,1,Chapter 6: Value of Supply
55,2,Chapter 3: Place of Supply
55,3,Chapter 2: Charge of GST
