Case_Study_ID,Question_ID,Scenario_Text,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Option,Reasoning
1,1,"Vidhyut Corporation Ltd. is a Public Sector Undertaking (PSU) engaged in the business of generation of electricity from conventional & non-conventional sources.  The Government of India holds 75% equity in the said company & balance equity is held by institutional and domestic investors.  The company has taken separate registration under GST in each State where it has business operations.  The company has its head office (HO) in Delhi & its power plants are located in the States of Bihar, Odisha & Chhattisgarh. Following transactions were carried out by the company during the month of February: Particulars Delhi H.O. (`) Bihar plant (`) Odisha plant (`) Chhattisgarh plant (`) Sale of electrical energy to DISCOM -- 2,50,00,000 3,50,00,000 4,50,00,000 Bank interest received on saving bank account & fixed deposit 18,00,000 3,00,000 5,00,000 8,00,000 House rent recovered from the employees for residential accommodation provided to them 55,000 30,000 25,000 40,000 Rent collected from bank, ATM, post office & shops located in office premises 48,000 15,000 12,000 16,000 Sale of metal scrap (covered under Chapter 72) (excluding TCS @ 1% as per the Income-tax - 85,000 65,000 45,000 Act, 1961) to Birla Scrappers, unregistered under GST Other Income 2,50,000 - - 45,000 In addition to above information, following transactions were also carried out during the month of February: (1) A supply order for stationery items was awarded by Delhi H.O. to M/s Stationery Mart, New Delhi for ` 3,36,000 (including GST @ 12%) in January. The vendor supplied stationery items worth ` 44,800 (including GST @ 12%) & issued the tax invoice in February.  Delhi H.O. had made the payment of the said bill in February by crediting the vendor’s account for that amount on the same date in its books. The remaining amount was paid in April on supply of balance items. (2) Odisha plant purchased office furniture for ` 2,80,000 during February from an unregistered dealer.  Rate of GST on said furniture item is 18%. (3) A Board meeting for raising term loan for project expansion was held in February. The Delhi H.O. paid ` 20,000 each as sitting fee to 4 independent directors (all registered under GST) who attended the meeting.  Further, it paid ` 80,000 to one of these directors, who had rented the office building to Delhi H.O. (4) For safety & security of its H.O. & power plants, the company engaged private security as well as CISF (Central Industrial Security Force). Following payments were made in February, in respect of said services: Particulars Delhi H.O. (`) Bihar plant (`) Odisha plant (`) Chhattisgarh plant (`) CISF --- 10,00,000 (paid on 7th February) 8,00,000 (paid on 15th February) 14,00,000 (paid on 5th February) ABS Security Services Pvt. Ltd. 5,00,000 (paid on 11th February) - - - (5) The Bihar plant purchased a machinery in February from M/s Sahoo Enterprises, Patna (not registered under GST) for ` 86,000.  Full payment was made in February.  Rate of GST on the said machinery is 18%. All the amounts mentioned above are excluding GST, wherever applicable (unless otherwise specified). Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 6 below:","The value of taxable supply on which GST is payable by Delhi H.O. under forward charge, for the month of February is ___________.","` 18,00,000","` 2,98,000","` 21,53,000","` 48,000",B,"Computation of value of taxable supply on which GST is payable by Delhi H.O. under forward charge, for the month of February Particulars Amount (`) Rent collected from bank, ATM, post office & shops located in office premises 48,000 Other income 2,50,000 Value of taxable supply 2,98,000"
1,2,"Vidhyut Corporation Ltd. is a Public Sector Undertaking (PSU) engaged in the business of generation of electricity from conventional & non-conventional sources.  The Government of India holds 75% equity in the said company & balance equity is held by institutional and domestic investors.  The company has taken separate registration under GST in each State where it has business operations.  The company has its head office (HO) in Delhi & its power plants are located in the States of Bihar, Odisha & Chhattisgarh. Following transactions were carried out by the company during the month of February: Particulars Delhi H.O. (`) Bihar plant (`) Odisha plant (`) Chhattisgarh plant (`) Sale of electrical energy to DISCOM -- 2,50,00,000 3,50,00,000 4,50,00,000 Bank interest received on saving bank account & fixed deposit 18,00,000 3,00,000 5,00,000 8,00,000 House rent recovered from the employees for residential accommodation provided to them 55,000 30,000 25,000 40,000 Rent collected from bank, ATM, post office & shops located in office premises 48,000 15,000 12,000 16,000 Sale of metal scrap (covered under Chapter 72) (excluding TCS @ 1% as per the Income-tax - 85,000 65,000 45,000 Act, 1961) to Birla Scrappers, unregistered under GST Other Income 2,50,000 - - 45,000 In addition to above information, following transactions were also carried out during the month of February: (1) A supply order for stationery items was awarded by Delhi H.O. to M/s Stationery Mart, New Delhi for ` 3,36,000 (including GST @ 12%) in January. The vendor supplied stationery items worth ` 44,800 (including GST @ 12%) & issued the tax invoice in February.  Delhi H.O. had made the payment of the said bill in February by crediting the vendor’s account for that amount on the same date in its books. The remaining amount was paid in April on supply of balance items. (2) Odisha plant purchased office furniture for ` 2,80,000 during February from an unregistered dealer.  Rate of GST on said furniture item is 18%. (3) A Board meeting for raising term loan for project expansion was held in February. The Delhi H.O. paid ` 20,000 each as sitting fee to 4 independent directors (all registered under GST) who attended the meeting.  Further, it paid ` 80,000 to one of these directors, who had rented the office building to Delhi H.O. (4) For safety & security of its H.O. & power plants, the company engaged private security as well as CISF (Central Industrial Security Force). Following payments were made in February, in respect of said services: Particulars Delhi H.O. (`) Bihar plant (`) Odisha plant (`) Chhattisgarh plant (`) CISF --- 10,00,000 (paid on 7th February) 8,00,000 (paid on 15th February) 14,00,000 (paid on 5th February) ABS Security Services Pvt. Ltd. 5,00,000 (paid on 11th February) - - - (5) The Bihar plant purchased a machinery in February from M/s Sahoo Enterprises, Patna (not registered under GST) for ` 86,000.  Full payment was made in February.  Rate of GST on the said machinery is 18%. All the amounts mentioned above are excluding GST, wherever applicable (unless otherwise specified). Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 6 below:",The value of taxable inward supply on which GST shall be payable under reverse charge by Bihar power plant is __________.,"` 11,80,000","` 10,00,000","` 10,86,000","` 10,30,000",B,"Computation of value of taxable inward supply on which GST shall be payable under reverse charge by Bihar power plant Particulars Amount (`) CISF security services [Since security services are being provided by a non-body corporate, tax is payable under reverse charge.] 10,00,000 Value of which tax is payable under reverse charge 10,00,000"
1,3,"Vidhyut Corporation Ltd. is a Public Sector Undertaking (PSU) engaged in the business of generation of electricity from conventional & non-conventional sources.  The Government of India holds 75% equity in the said company & balance equity is held by institutional and domestic investors.  The company has taken separate registration under GST in each State where it has business operations.  The company has its head office (HO) in Delhi & its power plants are located in the States of Bihar, Odisha & Chhattisgarh. Following transactions were carried out by the company during the month of February: Particulars Delhi H.O. (`) Bihar plant (`) Odisha plant (`) Chhattisgarh plant (`) Sale of electrical energy to DISCOM -- 2,50,00,000 3,50,00,000 4,50,00,000 Bank interest received on saving bank account & fixed deposit 18,00,000 3,00,000 5,00,000 8,00,000 House rent recovered from the employees for residential accommodation provided to them 55,000 30,000 25,000 40,000 Rent collected from bank, ATM, post office & shops located in office premises 48,000 15,000 12,000 16,000 Sale of metal scrap (covered under Chapter 72) (excluding TCS @ 1% as per the Income-tax - 85,000 65,000 45,000 Act, 1961) to Birla Scrappers, unregistered under GST Other Income 2,50,000 - - 45,000 In addition to above information, following transactions were also carried out during the month of February: (1) A supply order for stationery items was awarded by Delhi H.O. to M/s Stationery Mart, New Delhi for ` 3,36,000 (including GST @ 12%) in January. The vendor supplied stationery items worth ` 44,800 (including GST @ 12%) & issued the tax invoice in February.  Delhi H.O. had made the payment of the said bill in February by crediting the vendor’s account for that amount on the same date in its books. The remaining amount was paid in April on supply of balance items. (2) Odisha plant purchased office furniture for ` 2,80,000 during February from an unregistered dealer.  Rate of GST on said furniture item is 18%. (3) A Board meeting for raising term loan for project expansion was held in February. The Delhi H.O. paid ` 20,000 each as sitting fee to 4 independent directors (all registered under GST) who attended the meeting.  Further, it paid ` 80,000 to one of these directors, who had rented the office building to Delhi H.O. (4) For safety & security of its H.O. & power plants, the company engaged private security as well as CISF (Central Industrial Security Force). Following payments were made in February, in respect of said services: Particulars Delhi H.O. (`) Bihar plant (`) Odisha plant (`) Chhattisgarh plant (`) CISF --- 10,00,000 (paid on 7th February) 8,00,000 (paid on 15th February) 14,00,000 (paid on 5th February) ABS Security Services Pvt. Ltd. 5,00,000 (paid on 11th February) - - - (5) The Bihar plant purchased a machinery in February from M/s Sahoo Enterprises, Patna (not registered under GST) for ` 86,000.  Full payment was made in February.  Rate of GST on the said machinery is 18%. All the amounts mentioned above are excluding GST, wherever applicable (unless otherwise specified). Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 6 below:",The value of supply on which TDS under section 51 shall be deducted by Delhi H.O. while making payment to M/s Stationery Mart in February is ___________.,"` 40,000","` 44,800","` 3,00,000","TDS is not deductible since payment made in February is less than ` 2,50,000.",A,"As per section 51, TDS is deductible, since the value of taxable supply exceeds ` 2,50,000 [Value is ` 3,00,000 (3,60,000X100/112)]. The value of supply on which TDS under section 51 shall be deducted by Delhi H.O. while making payment to M/s Stationery Mart in February is ` 40,000 (44,800 × 100/112)."
1,4,"Vidhyut Corporation Ltd. is a Public Sector Undertaking (PSU) engaged in the business of generation of electricity from conventional & non-conventional sources.  The Government of India holds 75% equity in the said company & balance equity is held by institutional and domestic investors.  The company has taken separate registration under GST in each State where it has business operations.  The company has its head office (HO) in Delhi & its power plants are located in the States of Bihar, Odisha & Chhattisgarh. Following transactions were carried out by the company during the month of February: Particulars Delhi H.O. (`) Bihar plant (`) Odisha plant (`) Chhattisgarh plant (`) Sale of electrical energy to DISCOM -- 2,50,00,000 3,50,00,000 4,50,00,000 Bank interest received on saving bank account & fixed deposit 18,00,000 3,00,000 5,00,000 8,00,000 House rent recovered from the employees for residential accommodation provided to them 55,000 30,000 25,000 40,000 Rent collected from bank, ATM, post office & shops located in office premises 48,000 15,000 12,000 16,000 Sale of metal scrap (covered under Chapter 72) (excluding TCS @ 1% as per the Income-tax - 85,000 65,000 45,000 Act, 1961) to Birla Scrappers, unregistered under GST Other Income 2,50,000 - - 45,000 In addition to above information, following transactions were also carried out during the month of February: (1) A supply order for stationery items was awarded by Delhi H.O. to M/s Stationery Mart, New Delhi for ` 3,36,000 (including GST @ 12%) in January. The vendor supplied stationery items worth ` 44,800 (including GST @ 12%) & issued the tax invoice in February.  Delhi H.O. had made the payment of the said bill in February by crediting the vendor’s account for that amount on the same date in its books. The remaining amount was paid in April on supply of balance items. (2) Odisha plant purchased office furniture for ` 2,80,000 during February from an unregistered dealer.  Rate of GST on said furniture item is 18%. (3) A Board meeting for raising term loan for project expansion was held in February. The Delhi H.O. paid ` 20,000 each as sitting fee to 4 independent directors (all registered under GST) who attended the meeting.  Further, it paid ` 80,000 to one of these directors, who had rented the office building to Delhi H.O. (4) For safety & security of its H.O. & power plants, the company engaged private security as well as CISF (Central Industrial Security Force). Following payments were made in February, in respect of said services: Particulars Delhi H.O. (`) Bihar plant (`) Odisha plant (`) Chhattisgarh plant (`) CISF --- 10,00,000 (paid on 7th February) 8,00,000 (paid on 15th February) 14,00,000 (paid on 5th February) ABS Security Services Pvt. Ltd. 5,00,000 (paid on 11th February) - - - (5) The Bihar plant purchased a machinery in February from M/s Sahoo Enterprises, Patna (not registered under GST) for ` 86,000.  Full payment was made in February.  Rate of GST on the said machinery is 18%. All the amounts mentioned above are excluding GST, wherever applicable (unless otherwise specified). Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 6 below:",The value of taxable inward supply on which GST shall be payable under reverse charge by Delhi H.O. and Odisha plant is __________ and _________ respectively.,"` 1,60,000 and ` 10,80,000","` 80,000 and ` 8,00,000","` 6,80,000 and ` 2,80,000","` 5,80,000 and ` 2,80,000",B,"Computation of value of taxable inward supply on which GST shall be payable under reverse charge by Delhi H.O. and Odisha plant Particulars Delhi H.O. (`) Odisha plant (`) Sitting fees paid to directors [Tax on services supplied by a director of a company in the capacity of director to the said company is payable under reverse charge.] 80,000 [20,000 × 4] Rent paid to director [Tax on services by way of renting of any immovable property other than residential dwelling is payable under reverse charge only when said services are provided by an unregistered person to a registered person. Thus, tax on rent paid to director (registered under GST) for office building is payable under forward charge.] - CISF security services [Services are provided by person other than body corporate, so they are taxable under reverse charge] 8,00,000 Value of which tax is payable under reverse charge 80,000 8,00,000"
1,5,"Vidhyut Corporation Ltd. is a Public Sector Undertaking (PSU) engaged in the business of generation of electricity from conventional & non-conventional sources.  The Government of India holds 75% equity in the said company & balance equity is held by institutional and domestic investors.  The company has taken separate registration under GST in each State where it has business operations.  The company has its head office (HO) in Delhi & its power plants are located in the States of Bihar, Odisha & Chhattisgarh. Following transactions were carried out by the company during the month of February: Particulars Delhi H.O. (`) Bihar plant (`) Odisha plant (`) Chhattisgarh plant (`) Sale of electrical energy to DISCOM -- 2,50,00,000 3,50,00,000 4,50,00,000 Bank interest received on saving bank account & fixed deposit 18,00,000 3,00,000 5,00,000 8,00,000 House rent recovered from the employees for residential accommodation provided to them 55,000 30,000 25,000 40,000 Rent collected from bank, ATM, post office & shops located in office premises 48,000 15,000 12,000 16,000 Sale of metal scrap (covered under Chapter 72) (excluding TCS @ 1% as per the Income-tax - 85,000 65,000 45,000 Act, 1961) to Birla Scrappers, unregistered under GST Other Income 2,50,000 - - 45,000 In addition to above information, following transactions were also carried out during the month of February: (1) A supply order for stationery items was awarded by Delhi H.O. to M/s Stationery Mart, New Delhi for ` 3,36,000 (including GST @ 12%) in January. The vendor supplied stationery items worth ` 44,800 (including GST @ 12%) & issued the tax invoice in February.  Delhi H.O. had made the payment of the said bill in February by crediting the vendor’s account for that amount on the same date in its books. The remaining amount was paid in April on supply of balance items. (2) Odisha plant purchased office furniture for ` 2,80,000 during February from an unregistered dealer.  Rate of GST on said furniture item is 18%. (3) A Board meeting for raising term loan for project expansion was held in February. The Delhi H.O. paid ` 20,000 each as sitting fee to 4 independent directors (all registered under GST) who attended the meeting.  Further, it paid ` 80,000 to one of these directors, who had rented the office building to Delhi H.O. (4) For safety & security of its H.O. & power plants, the company engaged private security as well as CISF (Central Industrial Security Force). Following payments were made in February, in respect of said services: Particulars Delhi H.O. (`) Bihar plant (`) Odisha plant (`) Chhattisgarh plant (`) CISF --- 10,00,000 (paid on 7th February) 8,00,000 (paid on 15th February) 14,00,000 (paid on 5th February) ABS Security Services Pvt. Ltd. 5,00,000 (paid on 11th February) - - - (5) The Bihar plant purchased a machinery in February from M/s Sahoo Enterprises, Patna (not registered under GST) for ` 86,000.  Full payment was made in February.  Rate of GST on the said machinery is 18%. All the amounts mentioned above are excluding GST, wherever applicable (unless otherwise specified). Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 6 below:",Which of the following statements is most appropriate with respect to sale of metal scrap by Chhattisgarh plant?,"GST on value of supply of ` 45,000 of metal scrap is payable by Birla Scrappers under reverse charge.","GST on value of supply of ` 45,000 of metal scrap is payable by Chhattisgarh plant under forward charge.","GST on value of supply of ` 45,450 of metal scrap is payable by Chhattisgarh plant under forward charge.","Sale of metal scrap, on which TCS is being collected under Income-tax Act, 1961, is an exempt supply under GST.",B,"Tax on metal scrap supplied to any registered person is payable under reverse charge only when it is supplied by any unregistered person. Further, value of supply is ` 45,000 since Circular No. 76/50/2018 GST dated 31.12.2018 clarifies that tax collected at source (TCS) under the provisions of the Income Tax Act, 1961 would not be includible in the value of supply under GST as it is an interim levy not having the character of tax."
1,6,"Vidhyut Corporation Ltd. is a Public Sector Undertaking (PSU) engaged in the business of generation of electricity from conventional & non-conventional sources.  The Government of India holds 75% equity in the said company & balance equity is held by institutional and domestic investors.  The company has taken separate registration under GST in each State where it has business operations.  The company has its head office (HO) in Delhi & its power plants are located in the States of Bihar, Odisha & Chhattisgarh. Following transactions were carried out by the company during the month of February: Particulars Delhi H.O. (`) Bihar plant (`) Odisha plant (`) Chhattisgarh plant (`) Sale of electrical energy to DISCOM -- 2,50,00,000 3,50,00,000 4,50,00,000 Bank interest received on saving bank account & fixed deposit 18,00,000 3,00,000 5,00,000 8,00,000 House rent recovered from the employees for residential accommodation provided to them 55,000 30,000 25,000 40,000 Rent collected from bank, ATM, post office & shops located in office premises 48,000 15,000 12,000 16,000 Sale of metal scrap (covered under Chapter 72) (excluding TCS @ 1% as per the Income-tax - 85,000 65,000 45,000 Act, 1961) to Birla Scrappers, unregistered under GST Other Income 2,50,000 - - 45,000 In addition to above information, following transactions were also carried out during the month of February: (1) A supply order for stationery items was awarded by Delhi H.O. to M/s Stationery Mart, New Delhi for ` 3,36,000 (including GST @ 12%) in January. The vendor supplied stationery items worth ` 44,800 (including GST @ 12%) & issued the tax invoice in February.  Delhi H.O. had made the payment of the said bill in February by crediting the vendor’s account for that amount on the same date in its books. The remaining amount was paid in April on supply of balance items. (2) Odisha plant purchased office furniture for ` 2,80,000 during February from an unregistered dealer.  Rate of GST on said furniture item is 18%. (3) A Board meeting for raising term loan for project expansion was held in February. The Delhi H.O. paid ` 20,000 each as sitting fee to 4 independent directors (all registered under GST) who attended the meeting.  Further, it paid ` 80,000 to one of these directors, who had rented the office building to Delhi H.O. (4) For safety & security of its H.O. & power plants, the company engaged private security as well as CISF (Central Industrial Security Force). Following payments were made in February, in respect of said services: Particulars Delhi H.O. (`) Bihar plant (`) Odisha plant (`) Chhattisgarh plant (`) CISF --- 10,00,000 (paid on 7th February) 8,00,000 (paid on 15th February) 14,00,000 (paid on 5th February) ABS Security Services Pvt. Ltd. 5,00,000 (paid on 11th February) - - - (5) The Bihar plant purchased a machinery in February from M/s Sahoo Enterprises, Patna (not registered under GST) for ` 86,000.  Full payment was made in February.  Rate of GST on the said machinery is 18%. All the amounts mentioned above are excluding GST, wherever applicable (unless otherwise specified). Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 6 below:","Which of the following supplies is/are not taxable under reverse charge mechanism?  Choose the most appropriate option. (i) House rent recovered from the employees for residential accommodation provided to them. (ii) Rent collected from bank, ATM, post office & shops located in office premises. (iii) Sale of metal scrap (covered under Chapter 72) to Birla Scrappers.",(i) and (ii),"(i), (ii) and (iii)",(i) and (iii),(ii) and (iii),B,"Tax on following supplies is not payable under reverse charge: (i) House rent recovered from the employees for residential accommodation provided to them (since said services are exempt from GST.) (ii) Rent collected from bank, ATM, post office & shops located in office premises (since said renting services are taxable under reverse charge only when supplier is an unregistered person). (iii) Sale of metal scrap (covered under Chapter 72) to Birla Scrappers (since said supplies are taxable under reverse charge only when supplier is an unregistered person)."
2,1,"Vardhmaan Limited [hereinafter referred to as ‘company’], registered in Delhi, has operations in multiple States across India.  The company has taken separate GST registration in all the States where it operates. During the month of January, the tax team presented following information in its report to the management: 1. The company sold goods valuing ` 5 crore from its warehouse located at Kandla Port, Gujarat to a buyer located in Ahmedabad by way of transfer of title in goods. The responsibility of clearance of goods shall be on the buyer. The goods were imported by the company from Vietnam and were not cleared for home consumption since then. 2. The company got a favourable advance ruling order on a particular issue from the Authority for Advance Ruling, Rajasthan. The application was filed by the company through its registered place of business in Rajasthan. 3. The company received an order from the Adjudicating Authority in Maharashtra, wherein a demand of tax amounting to ` 1 crore and penalty amounting to ` 10 lakh and interest amounting to ` 25 lakh was confirmed by the Adjudicating Authority. The dispute in this case was similar to the issue for which a favourable order from Advance Ruling Authority was received by the company in the State of Rajasthan as discussed in para 2 above. The company feels that it has a strong case in the matter before the Appellate Authority. 4. The company has issued tax invoice in relation to certain supplies wherein the total tax collected from the recipients amounted to ` 3 crore. Subsequently, it was noticed that the supplies were not liable to GST and the amount has been wrongly collected by the company from the recipients of supply. 5. A special audit was initiated by the Chartered Accountant nominated by the State Tax authorities of Madhya Pradesh against the company in the State of Madhya Pradesh. Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 5 below:","In relation to the goods sold from its warehouse in Kandla, Gujarat, the company shall__________________:",be liable to pay customs duty and IGST as applicable.,be liable to pay customs duty only.,be liable to pay IGST only.,not be liable to pay any tax or duty.,D,"As per para 8(a) of Schedule III, supply of warehoused goods to any person before clearance for home consumption is neither supply of goods nor supply of services."
2,2,"Vardhmaan Limited [hereinafter referred to as ‘company’], registered in Delhi, has operations in multiple States across India.  The company has taken separate GST registration in all the States where it operates. During the month of January, the tax team presented following information in its report to the management: 1. The company sold goods valuing ` 5 crore from its warehouse located at Kandla Port, Gujarat to a buyer located in Ahmedabad by way of transfer of title in goods. The responsibility of clearance of goods shall be on the buyer. The goods were imported by the company from Vietnam and were not cleared for home consumption since then. 2. The company got a favourable advance ruling order on a particular issue from the Authority for Advance Ruling, Rajasthan. The application was filed by the company through its registered place of business in Rajasthan. 3. The company received an order from the Adjudicating Authority in Maharashtra, wherein a demand of tax amounting to ` 1 crore and penalty amounting to ` 10 lakh and interest amounting to ` 25 lakh was confirmed by the Adjudicating Authority. The dispute in this case was similar to the issue for which a favourable order from Advance Ruling Authority was received by the company in the State of Rajasthan as discussed in para 2 above. The company feels that it has a strong case in the matter before the Appellate Authority. 4. The company has issued tax invoice in relation to certain supplies wherein the total tax collected from the recipients amounted to ` 3 crore. Subsequently, it was noticed that the supplies were not liable to GST and the amount has been wrongly collected by the company from the recipients of supply. 5. A special audit was initiated by the Chartered Accountant nominated by the State Tax authorities of Madhya Pradesh against the company in the State of Madhya Pradesh. Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 5 below:","In relation to the advance ruling order received by the company in Rajasthan,",the order is binding on the company only in Rajasthan but on jurisdictional officers across all registrations of the company in India.,the order is binding on the company across all States in India.,"the order is binding on the company and the jurisdictional officer, in Rajasthan.",the order is binding on the company and the jurisdictional officers across all registrations of the company in India.,C,"As per section 103, the advance ruling pronounced by the Authority or the Appellate Authority shall be binding only on the applicant who had sought it or the jurisdictional officer in respect of the applicant."
2,3,"Vardhmaan Limited [hereinafter referred to as ‘company’], registered in Delhi, has operations in multiple States across India.  The company has taken separate GST registration in all the States where it operates. During the month of January, the tax team presented following information in its report to the management: 1. The company sold goods valuing ` 5 crore from its warehouse located at Kandla Port, Gujarat to a buyer located in Ahmedabad by way of transfer of title in goods. The responsibility of clearance of goods shall be on the buyer. The goods were imported by the company from Vietnam and were not cleared for home consumption since then. 2. The company got a favourable advance ruling order on a particular issue from the Authority for Advance Ruling, Rajasthan. The application was filed by the company through its registered place of business in Rajasthan. 3. The company received an order from the Adjudicating Authority in Maharashtra, wherein a demand of tax amounting to ` 1 crore and penalty amounting to ` 10 lakh and interest amounting to ` 25 lakh was confirmed by the Adjudicating Authority. The dispute in this case was similar to the issue for which a favourable order from Advance Ruling Authority was received by the company in the State of Rajasthan as discussed in para 2 above. The company feels that it has a strong case in the matter before the Appellate Authority. 4. The company has issued tax invoice in relation to certain supplies wherein the total tax collected from the recipients amounted to ` 3 crore. Subsequently, it was noticed that the supplies were not liable to GST and the amount has been wrongly collected by the company from the recipients of supply. 5. A special audit was initiated by the Chartered Accountant nominated by the State Tax authorities of Madhya Pradesh against the company in the State of Madhya Pradesh. Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 5 below:","In case the company prefers an appeal before the Appellate Authority against the order passed by Adjudicating Authority in Maharashtra, the amount of pre-deposit to be made by the company is ___________.",` 11 lakh,` 13.5 lakh,` 10 lakh,nil,C,"As per section 107, any appeal before the Appellate Authority shall be filed only when the appellant has paid: (a) full amount of tax, interest, fine, fee and penalty arising from the impugned order, as is admitted by him; and (b) a sum equal to 10% of the remaining amount of tax in dispute arising from the impugned order in relation to which the appeal has been filed, subject to a maximum of ` 25 crore (` 50 crore in case of IGST). Accordingly, amount of pre-deposit to be made by the company is ` 10 lakh (since 10% of disputed tax amount is ` 1 crore)."
2,4,"Vardhmaan Limited [hereinafter referred to as ‘company’], registered in Delhi, has operations in multiple States across India.  The company has taken separate GST registration in all the States where it operates. During the month of January, the tax team presented following information in its report to the management: 1. The company sold goods valuing ` 5 crore from its warehouse located at Kandla Port, Gujarat to a buyer located in Ahmedabad by way of transfer of title in goods. The responsibility of clearance of goods shall be on the buyer. The goods were imported by the company from Vietnam and were not cleared for home consumption since then. 2. The company got a favourable advance ruling order on a particular issue from the Authority for Advance Ruling, Rajasthan. The application was filed by the company through its registered place of business in Rajasthan. 3. The company received an order from the Adjudicating Authority in Maharashtra, wherein a demand of tax amounting to ` 1 crore and penalty amounting to ` 10 lakh and interest amounting to ` 25 lakh was confirmed by the Adjudicating Authority. The dispute in this case was similar to the issue for which a favourable order from Advance Ruling Authority was received by the company in the State of Rajasthan as discussed in para 2 above. The company feels that it has a strong case in the matter before the Appellate Authority. 4. The company has issued tax invoice in relation to certain supplies wherein the total tax collected from the recipients amounted to ` 3 crore. Subsequently, it was noticed that the supplies were not liable to GST and the amount has been wrongly collected by the company from the recipients of supply. 5. A special audit was initiated by the Chartered Accountant nominated by the State Tax authorities of Madhya Pradesh against the company in the State of Madhya Pradesh. Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 5 below:","In case where the tax has been wrongly collected by the company from the recipients,",the company shall pay such amount to the Government.,the company shall refund back the amount to the recipients.,the company shall deposit such amount with the consumer welfare fund.,the company can retain such amount with itself.,A,"As per section 76, every person who has collected from any other person any amount as representing the tax under GST law and has not paid the said amount to the Government, shall forthwith pay the said amount to the Government, irrespective of whether the supplies in respect of which such amount was collected are taxable or not."
