CaseStudyNo,Qno,Chapter
1,1,Chapter XI – Appointment and Qualifications of Directors
1,2,Chapter XI – Appointment and Qualifications of Directors
1,3,Chapter XIII – Appointment and Remuneration of Managerial Personnel
1,4,Chapter XII – Meetings of Board and its Powers
1,5,Chapter XIII – Appointment and Remuneration of Managerial Personnel
2,1,Chapter XIV – Inspection Inquiry and Investigation
2,2,Chapter XIV – Inspection Inquiry and Investigation
2,3,Chapter XIV – Inspection Inquiry and Investigation
2,4,Chapter XIV – Inspection Inquiry and Investigation
2,5,Chapter XIV – Inspection Inquiry and Investigation
2,6,Chapter XIV – Inspection Inquiry and Investigation
3,1,Chapter XIII – Appointment and Remuneration of Managerial Personnel
3,2,Chapter XII – Meetings of Board and its Powers
3,3,Chapter XI – Appointment and Qualifications of Directors
3,4,Chapter XII – Meetings of Board and its Powers
4,1,Chapter XV – Compromises Arrangements and Amalgamations
4,2,Chapter XV – Compromises Arrangements and Amalgamations
4,3,Chapter XV – Compromises Arrangements and Amalgamations
4,4,Chapter XV – Compromises Arrangements and Amalgamations
4,5,Chapter XV – Compromises Arrangements and Amalgamations
4,6,Chapter XV – Compromises Arrangements and Amalgamations
5,1,Chapter XI – Appointment and Qualifications of Directors
5,2,Chapter XI – Appointment and Qualifications of Directors
5,3,Chapter XI – Appointment and Qualifications of Directors
5,4,Chapter XI – Appointment and Qualifications of Directors
5,5,Chapter XI – Appointment and Qualifications of Directors
6,1,Chapter XII – Meetings of Board and its Powers
6,2,SEBI – LODR Regulations
6,3,Chapter XI – Appointment and Qualifications of Directors
6,4,Chapter XIII – Appointment and Remuneration of Managerial Personnel
6,5,SEBI – LODR Regulations
7,1,Chapter XI – Appointment and Qualifications of Directors
7,2,Chapter XII – Meetings of Board and its Powers
7,3,Chapter XI – Appointment and Qualifications of Directors
7,4,Chapter XII – Meetings of Board and its Powers
7,5,Chapter XIII – Appointment and Remuneration of Managerial Personnel
8,1,Chapter XV – Compromises Arrangements and Amalgamations
8,2,Chapter XV – Compromises Arrangements and Amalgamations
8,3,Chapter XV – Compromises Arrangements and Amalgamations
8,4,Chapter XV – Compromises Arrangements and Amalgamations
8,5,Chapter XV – Compromises Arrangements and Amalgamations
8,6,Chapter XV – Compromises Arrangements and Amalgamations
9,1,Chapter XI – Appointment and Qualifications of Directors
9,2,Chapter XIII – Appointment and Remuneration of Managerial Personnel
9,3,Chapter XII – Meetings of Board and its Powers
9,4,Chapter XII – Meetings of Board and its Powers
10,1,Chapter XII – Meetings of Board and its Powers
10,2,Chapter XII – Meetings of Board and its Powers
10,3,Chapter XII – Meetings of Board and its Powers
10,4,Chapter XII – Meetings of Board and its Powers
11,1,Chapter XIV – Inspection Inquiry and Investigation
11,2,Chapter XIV – Inspection Inquiry and Investigation
11,3,Chapter XIII – Appointment and Remuneration of Managerial Personnel
11,4,Chapter XIV – Inspection Inquiry and Investigation
11,5,Chapter XIV – Inspection Inquiry and Investigation
12,1,Chapter XXIX – Miscellaneous (Dormant Company)
12,2,Chapter XXIX – Miscellaneous (Dormant Company)
12,3,Chapter XXIX – Miscellaneous (Dormant Company)
12,4,Chapter XXIX – Miscellaneous (Dormant Company)
12,5,Chapter XXVII – NCLT and NCLAT
13,1,Chapter XXVI – Nidhi Companies
13,2,Chapter XXVI – Nidhi Companies
13,3,Chapter XXVI – Nidhi Companies
13,4,Chapter XXVI – Nidhi Companies
13,5,Chapter XXVI – Nidhi Companies
14,1,Chapter XI – Appointment and Qualifications of Directors
14,2,Chapter XI – Appointment and Qualifications of Directors
14,3,Chapter XI – Appointment and Qualifications of Directors
14,4,Chapter XII – Meetings of Board and its Powers
14,5,Chapter XII – Meetings of Board and its Powers
15,1,Chapter XI – Appointment and Qualifications of Directors
15,2,Chapter XI – Appointment and Qualifications of Directors
15,3,Chapter XI – Appointment and Qualifications of Directors
15,4,Chapter XIII – Appointment and Remuneration of Managerial Personnel
15,5,Chapter XII – Meetings of Board and its Powers
15,6,Chapter XII – Meetings of Board and its Powers
16,1,Chapter XV – Compromises Arrangements and Amalgamations
16,2,Chapter XV – Compromises Arrangements and Amalgamations
16,3,Chapter XV – Compromises Arrangements and Amalgamations
16,4,Chapter XV – Compromises Arrangements and Amalgamations
16,5,Chapter XV – Compromises Arrangements and Amalgamations
17,1,Chapter XV – Compromises Arrangements and Amalgamations
17,2,Chapter XV – Compromises Arrangements and Amalgamations
17,3,Chapter XV – Compromises Arrangements and Amalgamations
17,4,Chapter XV – Compromises Arrangements and Amalgamations
17,5,Chapter XV – Compromises Arrangements and Amalgamations
18,1,Chapter XV – Compromises Arrangements and Amalgamations
18,2,Chapter XV – Compromises Arrangements and Amalgamations
18,3,Chapter XV – Compromises Arrangements and Amalgamations
18,4,Chapter XV – Compromises Arrangements and Amalgamations
18,5,Chapter XV – Compromises Arrangements and Amalgamations
19,1,Chapter XV – Compromises Arrangements and Amalgamations
19,2,Chapter XV – Compromises Arrangements and Amalgamations
19,3,Chapter XV – Compromises Arrangements and Amalgamations
19,4,Chapter XV – Compromises Arrangements and Amalgamations
19,5,Chapter XV – Compromises Arrangements and Amalgamations
20,1,Chapter XV – Compromises Arrangements and Amalgamations
20,2,Chapter XV – Compromises Arrangements and Amalgamations
20,3,Chapter XV – Compromises Arrangements and Amalgamations
20,4,Chapter XV – Compromises Arrangements and Amalgamations
20,5,Chapter XV – Compromises Arrangements and Amalgamations
21,1,Chapter XV – Compromises Arrangements and Amalgamations
21,2,Chapter XV – Compromises Arrangements and Amalgamations
21,3,Chapter XV – Compromises Arrangements and Amalgamations
21,4,Chapter XV – Compromises Arrangements and Amalgamations
21,5,Chapter XV – Compromises Arrangements and Amalgamations
22,1,Chapter XXII – Companies Incorporated Outside India
22,2,Chapter XXII – Companies Incorporated Outside India
22,3,Chapter XXII – Companies Incorporated Outside India
22,4,Chapter XXII – Companies Incorporated Outside India
22,5,Chapter XIII – Appointment and Remuneration of Managerial Personnel
23,1,Chapter XIII – Appointment and Remuneration of Managerial Personnel
23,2,Chapter XIII – Appointment and Remuneration of Managerial Personnel
23,3,Chapter XIII – Appointment and Remuneration of Managerial Personnel
23,4,Chapter XIII – Appointment and Remuneration of Managerial Personnel
23,5,Chapter XIII – Appointment and Remuneration of Managerial Personnel
24,1,Economic Laws – FEMA
24,2,Economic Laws – FEMA
24,3,Economic Laws – FEMA
24,4,Economic Laws – FEMA
24,5,Economic Laws – FEMA
25,1,Chapter XV – Compromises Arrangements and Amalgamations
25,2,Chapter XV – Compromises Arrangements and Amalgamations
25,3,Chapter XV – Compromises Arrangements and Amalgamations
25,4,Chapter XIII – Appointment and Remuneration of Managerial Personnel
25,5,Chapter XV – Compromises Arrangements and Amalgamations
26,1,Chapter XV – Compromises Arrangements and Amalgamations
26,2,Chapter XV – Compromises Arrangements and Amalgamations
